id_comparacao;id_hospital;imag_medica;tempo_espera;cuidados;exp_pacientes;read_nacional;seguranca_nac;mortalidade_nac;data_comparacao
1512;140213;Same as the national average;Same as the national average;Same as the national average;Above the national average;Below the national average;Above the national average;Above the national average;2017-05-20
1513;141325;Not Available;Not Available;Not Available;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
1514;190026;Same as the national average;Same as the national average;Above the national average;Same as the national average;Below the national average;Same as the national average;Same as the national average;2017-05-20
1515;150165;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;2017-05-20
1516;151318;Same as the national average;Above the national average;Same as the national average;Same as the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
1517;220065;Same as the national average;Same as the national average;Same as the national average;Above the national average;Same as the national average;Same as the national average;Same as the national average;2017-05-20
1518;170016;Same as the national average;Above the national average;Same as the national average;Above the national average;Same as the national average;Below the national average;Below the national average;2017-05-20
1519;170012;Same as the national average;Above the national average;Same as the national average;Same as the national average;Same as the national average;Below the national average;Same as the national average;2017-05-20
1520;210028;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
1521;171369;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
1522;181323;Not Available;Not Available;Not Available;Same as the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
1523;110177;Same as the national average;Above the national average;Same as the national average;Below the national average;Below the national average;Below the national average;Same as the national average;2017-05-20
1524;150160;Not Available;Not Available;Not Available;Above the national average;Not Available;Not Available;Not Available;2017-05-20
1525;190267;Not Available;Not Available;Same as the national average;Not Available;Not Available;Not Available;Not Available;2017-05-20
1526;141348;Not Available;Above the national average;Same as the national average;Same as the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
1527;161355;Same as the national average;Above the national average;Same as the national average;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
1528;151327;Not Available;Same as the national average;Same as the national average;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
1529;180116;Below the national average;Above the national average;Same as the national average;Same as the national average;Below the national average;Above the national average;Same as the national average;2017-05-20
1530;150168;Not Available;Not Available;Not Available;Above the national average;Not Available;Not Available;Not Available;2017-05-20
1531;210022;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
1532;150179;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
1533;121303;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
1534;151305;Same as the national average;Same as the national average;Same as the national average;Above the national average;Same as the national average;Not Available;Not Available;2017-05-20
1535;210013;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
1536;160067;Above the national average;Above the national average;Same as the national average;Same as the national average;Above the national average;Same as the national average;Same as the national average;2017-05-20
1537;190245;Below the national average;Not Available;Same as the national average;Above the national average;Not Available;Not Available;Not Available;2017-05-20
1538;210039;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
1539;180101;Same as the national average;Above the national average;Same as the national average;Same as the national average;Same as the national average;Below the national average;Same as the national average;2017-05-20
1540;120001;Above the national average;Below the national average;Same as the national average;Above the national average;Above the national average;Below the national average;Same as the national average;2017-05-20
1541;170123;Same as the national average;Above the national average;Above the national average;Same as the national average;Above the national average;Above the national average;Same as the national average;2017-05-20
1542;170182;Same as the national average;Above the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;2017-05-20
1543;111305;Not Available;Same as the national average;Same as the national average;Not Available;Same as the national average;Not Available;Not Available;2017-05-20
1544;160101;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Not Available;Same as the national average;Not Available;2017-05-20
1545;190050;Below the national average;Same as the national average;Same as the national average;Above the national average;Same as the national average;Not Available;Above the national average;2017-05-20
1546;150005;Below the national average;Above the national average;Same as the national average;Above the national average;Above the national average;Below the national average;Same as the national average;2017-05-20
1547;111300;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
